iter	Passed	Remaining
626	97141	57789
627	97306	57640
628	97455	57481
629	97604	57323
630	97748	57162
631	97900	57005
632	98052	56848
633	98213	56697
634	98362	56539
635	98525	56388
636	98703	56247
637	98874	56101
638	99034	55949
639	99211	55806
640	99362	55649
641	99517	55493
642	99672	55339
643	99819	55179
644	99978	55026
645	100144	54877
646	100288	54717
647	100444	54562
648	100628	54423
649	100786	54269
650	100940	54114
651	101087	53954
652	101246	53801
653	101401	53646
654	101576	53501
655	101719	53340
656	101868	53182
657	102021	53026
658	102179	52872
659	102328	52714
660	102491	52563
661	102642	52406
662	102800	52253
663	102961	52100
664	103107	51941
665	103290	51800
666	103445	51645
667	103615	51497
668	103772	51343
669	103920	51184
670	104080	51032
671	104225	50871
672	104375	50714
673	104531	50559
674	104672	50398
675	104821	50239
676	104972	50082
677	105131	49929
678	105285	49774
679	105425	49612
680	105587	49460
681	105742	49305
682	105887	49145
683	106040	48989
684	106239	48854
685	106388	48696
686	106555	48547
687	106733	48402
688	106883	48245
689	107045	48092
690	107213	47943
691	107371	47789
692	107521	47632
693	107673	47475
694	107831	47321
695	107993	47169
696	108143	47012
697	108297	46856
698	108448	46699
699	108598	46542
700	108766	46392
701	108914	46234
702	109069	46079
703	109217	45920
704	109374	45766
705	109543	45617
706	109697	45461
707	109868	45313
708	110014	45154
709	110171	44999
710	110323	44843
711	110471	44685
712	110618	44526
713	110768	44369
714	110936	44219
715	111104	44069
716	111253	43911
717	111417	43759
718	111572	43604
719	111742	43455
720	111899	43300
721	112052	43144
722	112217	42993
723	112359	42833
724	112521	42680
725	112672	42523
726	112843	42374
727	112989	42215
728	113144	42060
729	113287	41900
730	113435	41743
731	113587	41586
732	113727	41425
733	113887	41272
734	114049	41119
735	114203	40964
736	114368	40812
737	114509	40652
738	114658	40495
739	114814	40340
740	114965	40183
741	115124	40029
742	115278	39874
743	115430	39718
744	115587	39563
745	115731	39404
746	115886	39249
747	116036	39092
748	116195	38938
749	116349	38783
750	116499	38626
751	116646	38468
752	116792	38310
753	116943	38154
754	117105	38001
755	117271	37849
756	117428	37694
757	117594	37543
758	117764	37393
759	117916	37236
760	118060	37078
761	118217	36923
762	118371	36768
763	118536	36616
764	118684	36458
765	118859	36309
766	119033	36159
767	119177	36001
768	119359	35854
769	119531	35704
770	119689	35549
771	119870	35402
772	120034	35249
773	120195	35095
774	120347	34939
775	120541	34795
776	120700	34641
777	120864	34488
778	121014	34331
779	121171	34176
780	121323	34020
781	121488	33867
782	121652	33714
783	121796	33556
784	121940	33397
785	122108	33245
786	122279	33094
787	122448	32943
788	122612	32789
789	122792	32640
790	122940	32483
791	123085	32325
792	123232	32168
793	123388	32012
794	123554	31859
795	123719	31707
796	123874	31551
797	124048	31400
798	124195	31243
799	124348	31087
800	124507	30932
801	124666	30778
802	124849	30629
803	125002	30473
804	125146	30315
805	125299	30158
806	125466	30006
807	125614	29849
808	125771	29693
809	125942	29542
810	126112	29390
811	126271	29235
812	126419	29078
813	126564	28920
814	126713	28763
815	126867	28607
816	127032	28454
817	127175	28295
818	127325	28139
819	127505	27989
820	127656	27832
821	127827	27680
822	128001	27528
823	128154	27372
824	128316	27218
825	128479	27064
826	128641	26910
827	128814	26758
828	128987	26606
829	129148	26452
830	129305	26296
831	129461	26141
832	129611	25984
833	129758	25827
834	129931	25675
835	130086	25519
836	130232	25361
837	130381	25205
838	130532	25048
839	130689	24893
840	130860	24740
841	131020	24585
842	131177	24430
843	131327	24273
844	131491	24119
845	131645	23963
846	131795	23807
847	131963	23653
848	132113	23497
849	132278	23343
850	132431	23187
851	132577	23029
852	132741	22875
853	132902	22720
854	133068	22567
855	133226	22411
856	133372	22254
857	133528	22099
858	133690	21944
859	133842	21788
860	134014	21635
861	134168	21479
862	134322	21323
863	134481	21168
864	134641	21013
865	134791	20856
866	134953	20702
867	135110	20546
868	135260	20390
869	135411	20233
870	135564	20077
871	135721	19922
872	135868	19765
873	136022	19609
874	136195	19456
875	136359	19302
876	136521	19147
877	136669	18990
878	136814	18833
879	136966	18677
880	137128	18522
881	137287	18367
882	137454	18213
883	137620	18058
884	137779	17903
885	137933	17747
886	138083	17591
887	138230	17434
888	138392	17279
889	138542	17123
890	138718	16970
891	138883	16815
892	139036	16659
893	139193	16503
894	139360	16349
895	139512	16193
896	139672	16038
897	139836	15883
898	139991	15727
899	140152	15572
900	140306	15416
901	140481	15263
902	140629	15106
903	140779	14950
904	140924	14793
905	141084	14637
906	141233	14481
907	141424	14329
908	141599	14175
909	141749	14019
910	141901	13863
911	142060	13707
912	142217	13551
913	142376	13396
914	142526	13240
915	142705	13086
916	142856	12930
917	143011	12774
918	143182	12620
919	143339	12464
920	143502	12309
921	143668	12154
922	143828	11998
923	143989	11843
924	144144	11687
925	144298	11531
926	144456	11375
927	144616	11220
928	144765	11063
929	144944	10909
930	145107	10754
931	145262	10598
932	145458	10445
933	145610	10289
934	145778	10134
935	145928	9978
936	146081	9821
937	146240	9666
938	146393	9510
939	146564	9355
940	146715	9198
941	146875	9043
942	147022	8886
943	147190	8731
944	147374	8577
945	147556	8422
946	147726	8267
947	147889	8112
948	148043	7955
949	148215	7800
950	148371	7644
951	148524	7488
952	148682	7332
953	148838	7176
954	148998	7020
955	149152	6864
956	149310	6708
957	149465	6552
958	149611	6396
959	149759	6239
960	149907	6083
961	150090	5928
962	150248	5772
963	150393	5616
964	150549	5460
965	150703	5304
966	150872	5148
967	151037	4992
968	151209	4837
969	151363	4681
970	151530	4525
971	151675	4369
972	151846	4213
973	152003	4057
974	152149	3901
975	152292	3744
976	152462	3589
977	152653	3433
978	152819	3278
979	152976	3121
980	153129	2965
981	153297	2809
982	153467	2654
983	153619	2497
984	153780	2341
985	153946	2185
986	154103	2029
987	154263	1873
988	154430	1717
989	154586	1561
990	154748	1405
991	154895	1249
992	155047	1092
993	155225	936
994	155384	780
995	155543	624
996	155700	468
997	155867	312
998	156028	156
999	156207	0
